,group,batch_group_number,only_female_owns_enterprises,number_enterprises_hh_C,child_under_6,treatment,shock_any,miss_shock_any,Age_C,Married_C,Muslim_C,HH_Size_C,Years_Education_C,Financial_Control_C,homeowner_C,miss_Age_C,miss_Married_C,miss_Muslim_C,miss_HH_Size_C,miss_Years_Education_C,miss_Financial_Control_C,miss_homeowner_C,No_Drain_C,miss_No_Drain_C,all_hh_enterprise_profits,female_entreprise_profits,miss_number_enterprises_hh_C,sec_loanamount1,sec_loanamount2,sec_loanamount3,sec_loanamount4,sec_loanamount5,sec_loanamount6,miss_sec_loanamount1,miss_sec_loanamount2,miss_sec_loanamount3,miss_sec_loanamount4,miss_sec_loanamount5,miss_sec_loanamount6
295,141,7.0,1.0,1.0,0.0,0.0,1.0,0.0,32.0,1.0,0.0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1300.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
296,178,8.0,1.0,1.0,1.0,0.0,1.0,0.0,46.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
297,178,8.0,0.0,2.0,1.0,0.0,1.0,0.0,24.0,1.0,0.0,7.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
298,201,8.0,0.0,2.0,1.0,1.0,1.0,0.0,25.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3375.0,1125.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
299,293,9.0,1.0,2.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,450.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
300,292,9.0,0.0,2.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,430.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
301,291,9.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,1.0,0.0,6.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
302,291,9.0,1.0,1.0,0.0,1.0,0.0,0.0,37.0,1.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
303,291,9.0,1.0,1.0,0.0,1.0,1.0,0.0,37.0,1.0,0.0,5.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,625.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
304,363,9.0,0.0,2.0,0.0,1.0,0.0,0.0,28.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.0,225.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
305,363,9.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,1.0,0.0,4.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1500.0,1500.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
306,88,8.0,0.0,2.0,0.0,0.0,1.0,0.0,32.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.6154,200.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
307,88,8.0,1.0,1.0,0.0,0.0,1.0,0.0,21.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
308,90,8.0,0.0,2.0,0.0,0.0,1.0,0.0,26.0,1.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,84.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
309,90,8.0,1.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
310,90,8.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
311,89,8.0,1.0,1.0,0.0,1.0,1.0,0.0,50.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
312,89,8.0,1.0,1.0,0.0,1.0,1.0,0.0,28.0,1.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,60.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
313,175,8.0,1.0,1.0,0.0,0.0,1.0,0.0,39.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
314,174,8.0,0.0,2.0,0.0,0.0,1.0,0.0,38.0,1.0,0.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,200.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
315,174,8.0,1.0,1.0,0.0,0.0,1.0,0.0,40.0,1.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
316,57,8.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1288.0,588.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
317,57,8.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,1.0,0.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,200.0,200.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
318,57,8.0,1.0,1.0,0.0,0.0,1.0,0.0,47.0,1.0,0.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,2000.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
319,173,9.0,1.0,2.0,0.0,0.0,1.0,0.0,28.0,1.0,0.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,378.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
